count,datasourceId,variable,field,runId
13267236,all,evidenceTotalCount,,21.06.5-post
9916059,europepmc,evidenceCountByDatasource,,21.06.5-post
1846,crispr,evidenceCountByDatasource,,21.06.5-post
34001,uniprot_variants,evidenceCountByDatasource,,21.06.5-post
19322,genomics_england,evidenceCountByDatasource,,21.06.5-post
529149,chembl,evidenceCountByDatasource,,21.06.5-post
72369,slapenrich,evidenceCountByDatasource,,21.06.5-post
225933,expression_atlas,evidenceCountByDatasource,,21.06.5-post
3141,intogen,evidenceCountByDatasource,,21.06.5-post
9673,reactome,evidenceCountByDatasource,,21.06.5-post
5736,orphanet,evidenceCountByDatasource,,21.06.5-post
389,sysbio,evidenceCountByDatasource,,21.06.5-post
718250,phenodigm,evidenceCountByDatasource,,21.06.5-post
183064,phewas_catalog,evidenceCountByDatasource,,21.06.5-post
63311,cancer_gene_census,evidenceCountByDatasource,,21.06.5-post
378,progeny,evidenceCountByDatasource,,21.06.5-post
1309,clingen,evidenceCountByDatasource,,21.06.5-post
855569,eva,evidenceCountByDatasource,,21.06.5-post
2506,gene2phenotype,evidenceCountByDatasource,,21.06.5-post
5322,uniprot_literature,evidenceCountByDatasource,,21.06.5-post
11589,eva_somatic,evidenceCountByDatasource,,21.06.5-post
608320,ot_genetics_portal,evidenceCountByDatasource,,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,targetId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,alleleOrigins,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,beta,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,biosamplesFromSource,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalPhase,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalSignificances,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalStatus,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortDescription,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortShortName,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,confidence,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,contrast,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,datatypeId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSource,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceMappedId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,drugId,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,literature,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatio,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatioConfidenceIntervalLower,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatioConfidenceIntervalUpper,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pValueExponent,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pValueMantissa,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pathways_id,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,pathways_name,21.06.5-post
4707656,europepmc,evidenceFieldNotNullCountByDatasource,pmcIds,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,projectId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,publicationFirstAuthor,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,publicationYear,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,reactionId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,reactionName,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,resourceScore,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,significantDriverMethods,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyCases,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyOverview,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studySampleSize,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyStartDate,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,studyStopReason,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,targetFromSource,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,targetFromSourceId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,targetInModel,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,targetInModelId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,targetModulation,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_dEnd,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_dStart,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_section,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_tEnd,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_tStart,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,textMiningSentences_text,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,urls_niceName,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,urls_url,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantAminoacidDescriptions,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantFunctionalConsequenceId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantId,21.06.5-post
0,europepmc,evidenceFieldNotNullCountByDatasource,variantRsId,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,diseaseId,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,id,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,score,21.06.5-post
9916059,europepmc,evidenceFieldNotNullCountByDatasource,sourceId,21.06.5-post
1846,crispr,evidenceFieldNotNullCountByDatasource,targetId,21.06.5-post
0,crispr,evidenceFieldNotNullCountByDatasource,alleleOrigins,21.06.5-post
0,crispr,evidenceFieldNotNullCountByDatasource,allelicRequirements,21.06.5-post
0,crispr,evidenceFieldNotNullCountByDatasource,beta,21.06.5-post
0,crispr,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,21.06.5-post
0,crispr,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,21.06.5-post
